,0,1
145,cires,5.74224540665598
146,eorls,5.742190325068051
147,solei,5.74205482983546
148,lines,5.74148382998423
149,rodes,5.738187332823
150,airns,5.7375477101399
151,saute,5.73635721559961
152,gales,5.735942391406724
153,teads,5.73385927443705
154,sarin,5.7335146146912
155,claes,5.73308450874082
156,kaies,5.7322683620198
157,mires,5.73149986931031
158,bales,5.730924830058218
159,setal,5.73076257631651
160,leads,5.73034169626645
161,telos,5.73025809590513
162,slane,5.72997999547638
163,reast,5.72986042520553
164,rakes,5.72890918570446
165,rants,5.72445957146838
166,serin,5.721554663281736
167,riels,5.721110167663
168,notes,5.7207108532704
169,tains,5.71953490572354
170,aesir,5.71868260567841
171,larns,5.7183617203039
172,deans,5.7181645728914
173,salue,5.71680489104254
174,doles,5.714906465176361
175,resat,5.71489072232132
176,sayer,5.713216416678
177,wares,5.70996728672542
178,deros,5.70940712609676
179,peals,5.7093710666447
180,lures,5.7090224932499
181,arils,5.708762209933226
182,sarge,5.70856584090316
183,teins,5.7072558191856
184,liers,5.70710070004975
185,artis,5.7070755888937
186,hears,5.70701357879443
187,arise,5.70480785891383
188,peats,5.70200467334057
189,fares,5.70090270194381
190,meals,5.70079782676504
191,trues,5.70069048606192
192,yores,5.70037855663495
193,tolas,5.69872747183719
194,nerts,5.69787760662083
195,hates,5.697737984189
196,sired,5.69773662526197
197,pries,5.6974556582017
198,gores,5.696610100573308
199,cries,5.695237895390901
200,seron,5.6948210141679
201,saice,5.69480600842771
202,years,5.6947472876179
203,bores,5.69392436546246
204,meats,5.6932701542092
205,rents,5.692822601081
206,gears,5.69256698999816
207,yates,5.69071977058547
208,roset,5.68980464757414
209,raids,5.68877731564982
210,kales,5.68875174913828
211,sorta,5.6886056015591
212,pelas,5.68690908702776
213,salep,5.68668582312033
214,bears,5.686467059421234
215,rased,5.68571237476881
216,rides,5.68493752653589
217,paris,5.6814489967957
218,gates,5.68133134016039
219,bates,5.68034586147597
220,darts,5.6803192144454
221,tabes,5.67943613270703
222,ropes,5.679095545974055
223,melas,5.6783964258618
224,banes,5.67476645463581
225,lenis,5.67413696967176
226,names,5.674071881196149
227,soral,5.67366623995419
228,rules,5.67325007345872
229,samel,5.67162916256742
230,stale,5.67075723332986
231,sager,5.67064695538286
232,torse,5.67061492924968
233,peris,5.66969761282844
234,earst,5.667585229991197
235,solar,5.66717246174258
236,amies,5.66695873090695
237,almes,5.666510263765121
238,loris,5.66599579619719
239,nites,5.66489178532609
240,poles,5.66399340277046
241,loans,5.66320123565333
242,silen,5.66290453102893
243,teams,5.66204567671464
244,serac,5.66191487657276
245,coles,5.661623761288371
246,raile,5.66121957046743
247,meris,5.66078063521123
248,leaps,5.65804826699792
249,napes,5.65762573239436
250,hires,5.65674028403767
251,saber,5.6560963770645
252,orals,5.655396011315267
253,nails,5.65475300504673
254,dotes,5.653917555802741
255,leams,5.65391103598435
256,reaks,5.653262680971514
257,roads,5.653216946948468
258,moles,5.65304386269853
259,senor,5.65177054723966
260,kores,5.649896024730657
261,arose,5.6497338779491
262,peans,5.648171930315
263,lenos,5.6474731183557
264,ceros,5.64727494127397
265,tians,5.64671969284519
266,aisle,5.64510503037651
267,tiros,5.64435543397682
